이번엔 ㅇㅣㅂㅓㄴㅇㅔㄴ
작년 ㅈㅏㄱㄴㅕㄴ
일요일이 ㅇㅣㄹㅇㅛㅇㅣㄹㅇㅣ
잘 ㅈㅏㄹ
감사합니다 ㄱㅏㅁㅅㅏㅎㅏㅂㄴㅣㄷㅏ
됩니다 ㄷㅚㅂㄴㅣㄷㅏ
넣어요 ㄴㅓㅎㅇㅓㅇㅛ
참 ㅊㅏㅁ
만드는 ㅁㅏㄴㄷㅡㄴㅡㄴ
음식 ㅇㅡㅁㅅㅣㄱ
문안 ㅁㅜㄴㅇㅏㄴ
항상 ㅎㅏㅇㅅㅏㅇ
얼굴 ㅇㅓㄹㄱㅜㄹ
회의 ㅎㅚㅇㅢ
귀 ㄱㅟ
그것도 ㄱㅡㄱㅓㅅㄷㅗ
줄넘기 ㅈㅜㄹㄴㅓㅁㄱㅣ
하셨어요 ㅎㅏㅅㅕㅆㅇㅓㅇㅛ
부모님 ㅂㅜㅁㅗㄴㅣㅁ
좋다 ㅈㅗㅎㄷㅏ
가족이 ㄱㅏㅈㅗㄱㅇㅣ
저는 ㅈㅓㄴㅡㄴ
죄송해서 ㅈㅚㅅㅗㅇㅎㅐㅅㅓ
자연스럽게 ㅈㅏㅇㅕㄴㅅㅡㄹㅓㅂㄱㅔ
좋아요 ㅈㅗㅎㅇㅏㅇㅛ
빛을 ㅂㅣㅊㅇㅡㄹ
조금이지 ㅈㅗㄱㅡㅁㅇㅣㅈㅣ
싸다 ㅆㅏㄷㅏ
길이 ㄱㅣㄹㅇㅣ
간장 ㄱㅏㄴㅈㅏㅇ
전할 ㅈㅓㄴㅎㅏㄹ
갈비 ㄱㅏㄹㅂㅣ
십만 ㅅㅣㅂㅁㅏㄴ
앉고 ㅇㅏㄵㄱㅗ
열었어요 ㅇㅕㄹㅇㅓㅆㅇㅓㅇㅛ
나중에 ㄴㅏㅈㅜㅇㅇㅔ
좋습니다 ㅈㅗㅎㅅㅡㅂㄴㅣㄷㅏ
맥락 ㅁㅐㄱㄹㅏㄱ
그릇 ㄱㅡㄹㅡㅅ
공짜 ㄱㅗㅇㅉㅏ
세수 ㅅㅔㅅㅜ
가 ㄱㅏ
봐 ㅂㅘ
갈등 ㄱㅏㄹㄷㅡㅇ
켤레 ㅋㅕㄹㄹㅔ
열렸네요 ㅇㅕㄹㄹㅕㅆㄴㅔㅇㅛ
고저 ㄱㅗㅈㅓ
외국 ㅇㅚㄱㅜㄱ
받았다 ㅂㅏㄷㅇㅏㅆㄷㅏ
병원 ㅂㅕㅇㅇㅝㄴ
젓가락 ㅈㅓㅅㄱㅏㄹㅏㄱ
데 ㄷㅔ
막 ㅁㅏㄱ
다음 ㄷㅏㅇㅡㅁ
공권력의 ㄱㅗㅇㄱㅝㄴㄹㅕㄱㅇㅢ
오세요 ㅇㅗㅅㅔㅇㅛ
않을까 ㅇㅏㄶㅇㅡㄹㄲㅏ
또 ㄸㅗ
새 ㅅㅐ
노력 ㄴㅗㄹㅕㄱ
쉴 ㅅㅟㄹ
낮아요 ㄴㅏㅈㅇㅏㅇㅛ
명이에요 ㅁㅕㅇㅇㅣㅇㅔㅇㅛ
소리 ㅅㅗㄹㅣ
나가 ㄴㅏㄱㅏ
끊지만 ㄲㅡㄶㅈㅣㅁㅏㄴ
감기 ㄱㅏㅁㄱㅣ
보셨어요 ㅂㅗㅅㅕㅆㅇㅓㅇㅛ
빠를수록 ㅃㅏㄹㅡㄹㅅㅜㄹㅗㄱ
여기 ㅇㅕㄱㅣ
많이 ㅁㅏㄶㅇㅣ
말씀을 ㅁㅏㄹㅆㅡㅁㅇㅡㄹ
다니니 ㄷㅏㄴㅣㄴㅣ
전화할게 ㅈㅓㄴㅎㅘㅎㅏㄹㄱㅔ
전 ㅈㅓㄴ
은행 ㅇㅡㄴㅎㅐㅇ
무릎 ㅁㅜㄹㅡㅍ
아세요 ㅇㅏㅅㅔㅇㅛ
조사 ㅈㅗㅅㅏ
질문 ㅈㅣㄹㅁㅜㄴ
음료수하고 ㅇㅡㅁㄹㅛㅅㅜㅎㅏㄱㅗ
했구나 ㅎㅐㅆㄱㅜㄴㅏ
아주 ㅇㅏㅈㅜ
주시지 ㅈㅜㅅㅣㅈㅣ
타요 ㅌㅏㅇㅛ
있을 ㅇㅣㅆㅇㅡㄹ
그림 ㄱㅡㄹㅣㅁ
괴물 ㄱㅚㅁㅜㄹ
있구나 ㅇㅣㅆㄱㅜㄴㅏ
미안 ㅁㅣㅇㅏㄴ
빌려줄 ㅂㅣㄹㄹㅕㅈㅜㄹ
집에 ㅈㅣㅂㅇㅔ
용돈은 ㅇㅛㅇㄷㅗㄴㅇㅡㄴ
불부터 ㅂㅜㄹㅂㅜㅌㅓ
어디에서 ㅇㅓㄷㅣㅇㅔㅅㅓ
수업 ㅅㅜㅇㅓㅂ
내용을 ㄴㅐㅇㅛㅇㅇㅡㄹ
내일 ㄴㅐㅇㅣㄹ
부럽지 ㅂㅜㄹㅓㅂㅈㅣ
우리 ㅇㅜㄹㅣ
퇴근시간이라서 ㅌㅚㄱㅡㄴㅅㅣㄱㅏㄴㅇㅣㄹㅏㅅㅓ
들었는데 ㄷㅡㄹㅇㅓㅆㄴㅡㄴㄷㅔ
바랍니다 ㅂㅏㄹㅏㅂㄴㅣㄷㅏ
년 ㄴㅕㄴ
못 ㅁㅗㅅ
몰랐는데 ㅁㅗㄹㄹㅏㅆㄴㅡㄴㄷㅔ
급하다 ㄱㅡㅂㅎㅏㄷㅏ
정말 ㅈㅓㅇㅁㅏㄹ
운동화를 ㅇㅜㄴㄷㅗㅇㅎㅘㄹㅡㄹ
국이 ㄱㅜㄱㅇㅣ
불을 ㅂㅜㄹㅇㅡㄹ
쉬다 ㅅㅟㄷㅏ
바퀴 ㅂㅏㅋㅟ
파악하지 ㅍㅏㅇㅏㄱㅎㅏㅈㅣ
가을 ㄱㅏㅇㅡㄹ
막히나 ㅁㅏㄱㅎㅣㄴㅏ
그거 ㄱㅡㄱㅓ
주시면 ㅈㅜㅅㅣㅁㅕㄴ
금요일이 ㄱㅡㅁㅇㅛㅇㅣㄹㅇㅣ
입 ㅇㅣㅂ
늦으시면 ㄴㅡㅈㅇㅡㅅㅣㅁㅕㄴ
생긴 ㅅㅐㅇㄱㅣㄴ
찾아주셔서 ㅊㅏㅈㅇㅏㅈㅜㅅㅕㅅㅓ
것이 ㄱㅓㅅㅇㅣ
늦었어 ㄴㅡㅈㅇㅓㅆㅇㅓ
주시기 ㅈㅜㅅㅣㄱㅣ
아이스크림 ㅇㅏㅇㅣㅅㅡㅋㅡㄹㅣㅁ
발 ㅂㅏㄹ
무슨 ㅁㅜㅅㅡㄴ
격려 ㄱㅕㄱㄹㅕ
법원 ㅂㅓㅂㅇㅝㄴ
합법적으로 ㅎㅏㅂㅂㅓㅂㅈㅓㄱㅇㅡㄹㅗ
닫는 ㄷㅏㄷㄴㅡㄴ
찌다 ㅉㅣㄷㅏ
젊고 ㅈㅓㄻㄱㅗ
어떤 ㅇㅓㄸㅓㄴ
가서 ㄱㅏㅅㅓ
허리 ㅎㅓㄹㅣ
시 ㅅㅣ
텐데요 ㅌㅔㄴㄷㅔㅇㅛ
더워요 ㄷㅓㅇㅝㅇㅛ
은행이 ㅇㅡㄴㅎㅐㅇㅇㅣ
풀 ㅍㅜㄹ
알았다면 ㅇㅏㄹㅇㅏㅆㄷㅏㅁㅕㄴ
무늬 ㅁㅜㄴㅢ
오셨어요 ㅇㅗㅅㅕㅆㅇㅓㅇㅛ
이 ㅇㅣ
드실 ㄷㅡㅅㅣㄹ
시계 ㅅㅣㄱㅖ
웬일로 ㅇㅞㄴㅇㅣㄹㄹㅗ
써 ㅆㅓ
구두 ㄱㅜㄷㅜ
맛있다 ㅁㅏㅅㅇㅣㅆㄷㅏ
누가 ㄴㅜㄱㅏ
걸 ㄱㅓㄹ
염증 ㅇㅕㅁㅈㅡㅇ
서둘렀을 ㅅㅓㄷㅜㄹㄹㅓㅆㅇㅡㄹ
흔들다 ㅎㅡㄴㄷㅡㄹㄷㅏ
와야 ㅇㅘㅇㅑ
않겠지만 ㅇㅏㄶㄱㅔㅆㅈㅣㅁㅏㄴ
즐겁네요 ㅈㅡㄹㄱㅓㅂㄴㅔㅇㅛ
노력을 ㄴㅗㄹㅕㄱㅇㅡㄹ
기부금으로 ㄱㅣㅂㅜㄱㅡㅁㅇㅡㄹㅗ
쏙 ㅆㅗㄱ
기다려 ㄱㅣㄷㅏㄹㅕ
실력 ㅅㅣㄹㄹㅕㄱ
주시겠어요 ㅈㅜㅅㅣㄱㅔㅆㅇㅓㅇㅛ
보통 ㅂㅗㅌㅗㅇ
나 ㄴㅏ
우리가 ㅇㅜㄹㅣㄱㅏ
날씨가 ㄴㅏㄹㅆㅣㄱㅏ
마음에 ㅁㅏㅇㅡㅁㅇㅔ
바쁘다 ㅂㅏㅃㅡㄷㅏ
공항이 ㄱㅗㅇㅎㅏㅇㅇㅣ
부부 ㅂㅜㅂㅜ
좋던데요 ㅈㅗㅎㄷㅓㄴㄷㅔㅇㅛ
감사의 ㄱㅏㅁㅅㅏㅇㅢ
힘들 ㅎㅣㅁㄷㅡㄹ
기막히다 ㄱㅣㅁㅏㄱㅎㅣㄷㅏ
예정이십니까 ㅇㅖㅈㅓㅇㅇㅣㅅㅣㅂㄴㅣㄲㅏ
일을 ㅇㅣㄹㅇㅡㄹ
좋지 ㅈㅗㅎㅈㅣ
많을 ㅁㅏㄶㅇㅡㄹ
이따 ㅇㅣㄸㅏ
