가	G A
가게	G A G E
가구의	G A G U euI
가만히	G A M A N H I
가서	G A S EO
가슴이	G A S EU M I
가을	G A EU L
가자	G A J A
가족이	G A J O G I
간식	G A N S I k
간장	G A N J A NG
갈까	G A L GG A
갈대에	G A L DD AE E
갈등	G A L DD EU NG
갈비	G A L B I
감기	G A M G I
감사의	G A M S A euI
감사합니다	G A M S A H A M N I D A
갔다	G A DD A
갔어요	G A SS EO iO
갔지	G A t JJ I
갖다	G A t DD A
같습니다	G A SS EU M N I D A
같은	G A Th EU N
같이	G A CHh I
갚았다	G A Ph A t DD A
개념을  G AE N iEO M EU L
거	G EO
거도  G EO D O
거야	GG EO iA
건  G EO N
걷힌	G EO CHh I N
걸	G EO L
걸려요	G EO L R iEO iO
것	GG EO t
것도  G EO t DD O
것을	G EO S EU L
것이	G EO S I
게	G E
격려	G iEO NG N iEO
겪다	G iEO k DD A
결정은	G iEO L JJ EO NG EU N
계세요	G iE S E iO
계속할	G iE S O Kh A L
고저	G O J EO
고향에서는	G O H iA NG E S EO N EU N
공권력의	G O NG GG uEO N N iEO G euI
공부  G O NG B U
공부만 G O NG B U M A N
공부하게	G O NG B U H A G E
공부하는  G O NG B U H A N EU N
공부한 G O NG B U H A N
공부했습니다	G O NG B U H AE SS EU M N I D A
공짜	G O NG JJ A
공항과	G O NG H A NG G oA
공항이	G O NG H A NG I
과정	G oA J EO NG
과정이  G oA J EO NG I
관심이	G oA N S I M I
괜찮다	G O AE N CHh A N Th A
괴물	G OE M U L
교육열	G iO iU NG N iEO L
교재나 G iO J AE N A
구두	G U D U
구하다	G U H A D A
국내선	G U NG N AE S EO N
국민	G U NG M I N
국이	G U G I
국제선	G U k JJ E S EO N
궁리	G U NG N I
권력과	G uEO L R iEO k GG oA
권하다	G uEO N H A D A
귀	G UE
그	G EU
그거	G EU G EO
그것도	G EU G EO t DD O
그런데	G EU R EO N D E
그렇게	G EU R EO Kh E
그릇	G EU R EU t
그리고  G EU R I G O
그림	G EU R I M
그만	G EU M A N
근로자	G EU L R O J A
글씨	G EU L SS I
금요일이	G EU M iO I R I
급하다	G EU Ph A D A
급한	G EU Ph A N
기능이	G I N EU NG I
기다려	G I D A R iEO
기다리다	G I D A R I D A
기막히다	G I M A Kh I D A
기본이라고	G I B O N I R A G O
기부금으로	G I B U G EU M EU R O
기쁩니다	G I BB EU M N I D A
길이	G I R I
김치	G I M CHh I
깨끗이	GG AE GG EU S I
꼬리	GG O R I
꼭	GG O k
꽃	GG O t
꽃을	GG O CHh EU L
끄고	GG EU G O
끊지만	GG EU N CHh I M A N
끓는데	GG EU L R EU N D E
끕시다	GG EU p SS I D A
끝났을걸	GG EU N N A SS EU L GG EO L
끝이	GG EU CHh I
나	N A
나가	N A G A
나갔는데	N A G A N N EU N D E
나갔어요	N A G A SS EO iO
나누면서  N A N U M iEO N S EO
나는	N A N EU N
나뭇잎	N A M U N N I p
나세요	N A S E iO
나중에	N A J U NG E
날씨가	N A L SS I G A
낮아요	N A J A iO
내	N AE
내가	N AE G A
내용을	N AE iO NG EU L
내일	N AE I L
너	N EO
너무	N EO M U
너의  N EO euI
넣어요	N EO EO iO
년	R iEO N
노력	N O R iEO k
노력을	N O R iEO G EU L
녹기	N O k GG I
녹색	N O k SS AE k
누가	N U G A
누구하고	N U G U H A G O
늙어가는	N EU L G EO G A N EU N
늦게	N EU t GG E
늦었어	N EU J EO SS EO
늦었지만	N EU J EO JJ I M A N
늦으시면	N EU J EU S I M iEO N
니	N I
다	D A
다니니	D A N I N I
다르다는	D A R EU D A N EU N
다른	D A R EU N
다섯	D A S EO t
다시	D A S I
다음	D A EU M
닫는	D A N N EU N
닫히다	D A CHh I D A
달콤한	D A L Kh O M H A N
닮았어요	D A L M A SS EO iO
당장	D A NG J A NG
대단하네요	D AE D A N H A N E iO
대화를  D AE H oA R EU L 
더	D EO
더워요	D EO uEO iO
데	DD E
도움이 D O U M I
도착했어요	D O CHh A Kh AE SS EO iO
돈은	D O N EU N
돼요	D O AE iO
되는데	D OE N EU N D E
되어	D OE EO
될 D OE L
될까요	D OE L GG A iO
됩니다	D OE M N I D A
두부	D U B U
뒷일은	D UE N N I R EU N
드라마나  D EU R A M A N A
드세요	D EU S E iO
드실	D EU S I L
듣고	D EU t GG O
